File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
/home/fmarques/sbugs/projects/alunos/iaed_p1/293/proj.c,139,2,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"	strcpy(stock_produto[n_pro].nome, sAux[0]);",8941739688277bbde471c1f14ee4a36d2c56204fc554ca98770266bac03760cf,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/293/proj.c,13,2,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,	char nome[NOMEMAX];,ce28e3012c995526927dedc7e46501eb65452c82beb7b5a089ddc84ab2bd7ebf,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/293/proj.c,131,2,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"	char s[80], sAux[4][NOMEMAX];",20bfbbb4189cb8928f4b8d1efd3aa83c51dada6eb90c174dc1e58adda7ebb13d,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/293/proj.c,140,31,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,	stock_produto[n_pro].preco = atoi(sAux[1]);,96107ecba4d87065caa3eaa6d0f6adcfc4d66deb4c1e383603f767ceeabfd337,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/293/proj.c,141,30,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,	stock_produto[n_pro].peso = atoi(sAux[2]);,03b6ff2f5698dd7f95fdac2c6709b96c4e33aa380de9e9c1c0be728bd596bc3f,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/293/proj.c,142,29,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,	stock_produto[n_pro].qtd = atoi(sAux[3]);,c10439c118b476cfda610272b0a421ed5f3095d0120ed483c25bcaa02416f717,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/293/proj.c,150,2,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"	char s[NOMEMAX], sAux[2][NOMEMAX];",05fc65ed9d51f307c769cf16ef9c7170b7cc30a7809a7daca457b4d71d70a670,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/293/proj.c,154,8,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,	idp = atoi(sAux[0]);,7bc8ab573a119a3cc027ec48826fc76f25b2c4db49ddf2da870da45f934b2db7,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/293/proj.c,156,29,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,		stock_produto[idp].qtd += atoi(sAux[1]);,7854474dad6768c884514ce7a24876e4681fb1eee53fba94557bf6591aee53d7,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/293/proj.c,176,2,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,"	char s[NOMEMAX], sAux[3][NOMEMAX];",ade58adfa0acfccbd5ee13d0ad7432a9c191e1439652d66d94f8ff229c786777,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
