File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,55,5,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"    strcpy(entry->jogo->nome, nome);",12c2962bda5fe691f4bd7550b1775af84c19da1469e8de4551557fe2aa3760cd,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,56,5,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"    strcpy(entry->jogo->equipa1, equipa1);",a8b1585c9cc11934da8faccbe09e7c245f8530a97ad5cc013c7aab5c94fcc780,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,57,5,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"    strcpy(entry->jogo->equipa2, equipa2);",69b2ae8d124a643624aaee4adbce0e15732f1c48272f429d8742a0e91743457f,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,107,13,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"            strcpy(entry->jogo->equipa1, equipa1);",a8b1585c9cc11934da8faccbe09e7c245f8530a97ad5cc013c7aab5c94fcc780,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,108,13,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"            strcpy(entry->jogo->equipa2, equipa2);",69b2ae8d124a643624aaee4adbce0e15732f1c48272f429d8742a0e91743457f,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,253,5,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"    strcpy(entry->equipa->nome, nome);",0285ff954cc0de6f916f95bf71a15a650cbc456db74b4cd83cc6105bcc97af50,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,363,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char nome[MAX];,c875fa783d38862db21fc83c0142dcb25bd29cb7714010135f582a54b77a22b5,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,364,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char equipa1[MAX];,68e10370f76dbfd739316fb95328933a3714ce4404ac454c9361c2c35b574bbb,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,365,3,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,  char equipa2[MAX];,9c4a0199592e96a72adb3fd6fa3ebc169d987f9f24433463d4f6000a07ea7b5f,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,406,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char nome[MAX];,c875fa783d38862db21fc83c0142dcb25bd29cb7714010135f582a54b77a22b5,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,425,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char nome[MAX];,c875fa783d38862db21fc83c0142dcb25bd29cb7714010135f582a54b77a22b5,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,443,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char nome[MAX];,c875fa783d38862db21fc83c0142dcb25bd29cb7714010135f582a54b77a22b5,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,461,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char nome[MAX];,c875fa783d38862db21fc83c0142dcb25bd29cb7714010135f582a54b77a22b5,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,510,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char nome[MAX];,c875fa783d38862db21fc83c0142dcb25bd29cb7714010135f582a54b77a22b5,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,31,28,1,1,buffer,strlen,Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,,,CWE-126,    unsigned int key_len = strlen(nome);,e94f29e039267aa7ddebd2be7454e0936e1f2ac03dd0f7b7fa7ba97d5f849b62,2.0.19,FF1022,https://cwe.mitre.org/data/definitions/126.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,48,41,1,1,buffer,strlen,Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,,,CWE-126,    entry->jogo->nome = can_fail_malloc(strlen(nome) + 1);,0752166885bacaeab72033f110cbb5e789767ead45fe700459001ce2d4a7c138,2.0.19,FF1022,https://cwe.mitre.org/data/definitions/126.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,49,44,1,1,buffer,strlen,Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,,,CWE-126,    entry->jogo->equipa1 = can_fail_malloc(strlen(equipa1) + 1);,cb8e60de240661c4cc8a46c5fa8cbcf269c4ee3cf074ce7ad18db49aec59a868,2.0.19,FF1022,https://cwe.mitre.org/data/definitions/126.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,50,44,1,1,buffer,strlen,Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,,,CWE-126,    entry->jogo->equipa2 = can_fail_malloc(strlen(equipa2) + 1);,141c6db6bf674e78f9c0eb3021572ac6030f15ddb6ae2f240e48b9f05053ecea,2.0.19,FF1022,https://cwe.mitre.org/data/definitions/126.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,103,52,1,1,buffer,strlen,Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,,,CWE-126,            entry->jogo->equipa1 = can_fail_malloc(strlen(equipa1) + 1);,cb8e60de240661c4cc8a46c5fa8cbcf269c4ee3cf074ce7ad18db49aec59a868,2.0.19,FF1022,https://cwe.mitre.org/data/definitions/126.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,104,52,1,1,buffer,strlen,Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,,,CWE-126,            entry->jogo->equipa2 = can_fail_malloc(strlen(equipa2) + 1);,141c6db6bf674e78f9c0eb3021572ac6030f15ddb6ae2f240e48b9f05053ecea,2.0.19,FF1022,https://cwe.mitre.org/data/definitions/126.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,249,43,1,1,buffer,strlen,Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,,,CWE-126,    entry->equipa->nome = can_fail_malloc(strlen(nome) + 1);,35656bb0f3c0968d99d486ca71b74b581945e933ec6de8cb44af3a565bb89571,2.0.19,FF1022,https://cwe.mitre.org/data/definitions/126.html
/home/fmarques/sbugs/projects/alunos/iaed_p2/349/hash_table_teste.c,590,11,1,1,buffer,getchar,"Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).",,,"CWE-120, CWE-20",	while((i=getchar())!=EOF && i != 'x'),fa6634d4142df8018e5b0ad7b54882bbd1d64602938a055b9ddd081aece04c98,2.0.19,FF1029,https://cwe.mitre.org/data/definitions/120.html
