File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,159,9,4,4,buffer,scanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","Specify a limit to %s, or use a different input function.",,"CWE-120, CWE-20","        scanf(""%s"", input);",5aa863c6a59768f4b51eabbd04ffe7f68be5c8a311e74c1388eabf96a7cf8649,2.0.19,FF1020,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,171,5,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"    strcpy(lista_prod[total_produtos].descricao, array[0]);",6c97a620ff03caf99b7570893fe9f5ceb00b56e9e29179a337f50f805e10bd03,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,189,5,4,4,buffer,scanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","Specify a limit to %s, or use a different input function.",,"CWE-120, CWE-20","    scanf(""%s"", input);",5aa863c6a59768f4b51eabbd04ffe7f68be5c8a311e74c1388eabf96a7cf8649,2.0.19,FF1020,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,232,9,4,4,buffer,scanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","Specify a limit to %s, or use a different input function.",,"CWE-120, CWE-20","        scanf(""%s"", input);",5aa863c6a59768f4b51eabbd04ffe7f68be5c8a311e74c1388eabf96a7cf8649,2.0.19,FF1020,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,319,5,4,4,buffer,scanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","Specify a limit to %s, or use a different input function.",,"CWE-120, CWE-20","    scanf(""%s"", input);",5aa863c6a59768f4b51eabbd04ffe7f68be5c8a311e74c1388eabf96a7cf8649,2.0.19,FF1020,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,353,5,4,4,buffer,scanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","Specify a limit to %s, or use a different input function.",,"CWE-120, CWE-20","    scanf(""%s"", input);",5aa863c6a59768f4b51eabbd04ffe7f68be5c8a311e74c1388eabf96a7cf8649,2.0.19,FF1020,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,424,5,4,4,buffer,scanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","Specify a limit to %s, or use a different input function.",,"CWE-120, CWE-20","    scanf(""%s"", input);",5aa863c6a59768f4b51eabbd04ffe7f68be5c8a311e74c1388eabf96a7cf8649,2.0.19,FF1020,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,473,5,4,4,buffer,scanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20).","Specify a limit to %s, or use a different input function.",,"CWE-120, CWE-20","    scanf(""%s"", input);",5aa863c6a59768f4b51eabbd04ffe7f68be5c8a311e74c1388eabf96a7cf8649,2.0.19,FF1020,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,604,17,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"                strcpy(lista_enc_temp[count].descricao, lista_prod[id_prod].descricao);",93ad24432f2d883987df9c471fdf076b10655c35c2cec96e2f846c1b2328c2f0,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,17,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char descricao[DESCRICAO];,119e98876aeed46f6552aa55e4506fa50b6756925eec7f763ea80f0dbc2f1ea8,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,42,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char descricao[DESCRICAO];,119e98876aeed46f6552aa55e4506fa50b6756925eec7f763ea80f0dbc2f1ea8,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,152,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char input[INPUT_MAX];,8bf5c9fbf2250c2e09e15f171a98c45262b3ced4af001e9acb63315a4dc511aa,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,155,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char *array[4];,3aa1d82def347ece02d91a6087630069e96cb9fc06bdc5f5dd4a86826da0b26b,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,172,40,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,    lista_prod[total_produtos].preco = atoi(array[1]);,9771da2bb020b64c992fe191e91d361feb749087d120c813e4f40e616fe3966d,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,173,39,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,    lista_prod[total_produtos].peso = atoi(array[2]);,2da4feab3b2ec406cbc2030c41323e91d12430d6a410620ac0f993eb86e51407,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,174,45,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,    lista_prod[total_produtos].quantidade = atoi(array[3]);,857800610fc982ae27f0eea7b1dbd7571f8785bab12d33021b2183a47d5197d9,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,184,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char input[INPUT_MAX];,8bf5c9fbf2250c2e09e15f171a98c45262b3ced4af001e9acb63315a4dc511aa,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,187,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char *array[2];,dff9c777301c7c81337de39e35a4502f768b0f97bc568cb8f34467b3a444925c,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,199,28,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,    prod = procura_produto(atoi(array[0]));,705d0f3c0d9ba98e4ca12204257fdfd239d012060711d52de20137000b6ab0d1,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,204,84,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,"        printf(""Impossivel adicionar produto %d ao stock. Produto inexistente.\n"", atoi(array[0]));",112d67f203418a25ec4a3f0805f92aac6e43c8dd898e8c5ea5c0bbc5fff63808,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,207,40,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,        lista_prod[prod].quantidade += atoi(array[1]);,26339f5dd4afe55e3e1f7488025f3fe0ed33e4406b2011c374946b4e82096bb2,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,225,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char input[INPUT_MAX];,8bf5c9fbf2250c2e09e15f171a98c45262b3ced4af001e9acb63315a4dc511aa,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,228,5,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,    char *array[3];,20771df8db772ba6931346020976c4b0f262998dfe376b9c54122dcffeaa84ab,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,246,92,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,"        printf(""Impossivel adicionar produto %d a encomenda %d. Encomenda inexistente.\n"", atoi(array[1]), atoi(array[0]));",5197eed03558f77f59304bdb7618757e0e95e777794cf34b43b269cbdeba077c,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,246,108,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,"        printf(""Impossivel adicionar produto %d a encomenda %d. Encomenda inexistente.\n"", atoi(array[1]), atoi(array[0]));",5197eed03558f77f59304bdb7618757e0e95e777794cf34b43b269cbdeba077c,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,250,33,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,        enc = procura_encomenda(atoi(array[0]));,830f976dd73b39add53ec81bfd403a07652f01844ca1d5360fd07ebbf23c70c7,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,251,32,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,        prod = procura_produto(atoi(array[1]));,0249444f8847f4a49ec3a342ed636179e938e06a2940786ee278a60a423881a9,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,256,96,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,"            printf(""Impossivel adicionar produto %d a encomenda %d. Encomenda inexistente.\n"", atoi(array[1]), atoi(array[0]));",5197eed03558f77f59304bdb7618757e0e95e777794cf34b43b269cbdeba077c,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,256,112,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,"            printf(""Impossivel adicionar produto %d a encomenda %d. Encomenda inexistente.\n"", atoi(array[1]), atoi(array[0]));",5197eed03558f77f59304bdb7618757e0e95e777794cf34b43b269cbdeba077c,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,261,94,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,"            printf(""Impossivel adicionar produto %d a encomenda %d. Produto inexistente.\n"", atoi(array[1]), atoi(array[0]));",341c8061c9f92cba69b1b96ee90047586572994855185f4410d77fab159cbeb3,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,261,110,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,"            printf(""Impossivel adicionar produto %d a encomenda %d. Produto inexistente.\n"", atoi(array[1]), atoi(array[0]));",341c8061c9f92cba69b1b96ee90047586572994855185f4410d77fab159cbeb3,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,271,30,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,            if (quant_prod < atoi(array[2])),3b4328a75cd5aeabdcad68f69d5165f7f92d83defaddcd28cff66b4d30d9f64a,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,273,111,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,"                printf(""Impossivel adicionar produto %d a encomenda %d. Quantidade em stock insuficiente.\n"", atoi(array[1]), atoi(array[0]));",3b723ee69f428560daa93866d643696dc080ea09c85bf8fcea5f7a0c5f7405eb,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,273,127,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,"                printf(""Impossivel adicionar produto %d a encomenda %d. Quantidade em stock insuficiente.\n"", atoi(array[1]), atoi(array[0]));",3b723ee69f428560daa93866d643696dc080ea09c85bf8fcea5f7a0c5f7405eb,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,276,34,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,            else if (peso_enc + (atoi(array[2]) * peso_prod) > PESO_MAX),01caa6d6edcc1107c431f1af043b29602ad6bc4348e900e7ee398d6728c18e13,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
/home/fmarques/sbugs/projects/alunos/iaed_p1/9/proj1.c,278,118,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,"                printf(""Impossivel adicionar produto %d a encomenda %d. Peso da encomenda excede o maximo de %d.\n"", atoi(array[1]), atoi(array[0]), PESO_MAX);",623d461f7da385a3e0bf68614ec01ee7639ca218d79c81c20f56bdab2a36e685,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
